"Géographie";"T1 2015";"T2 2015";"T3 2015";"T4 2015";"T1 2016";"T2 2016";"T3 2016";"T4 2016";"T1 2017";"T2 2017";"T3 2017";"T4 2017";"T1 2018";"T2 2018";"T3 2018";"T4 2018";"T1 2019";"T2 2019";"T3 2019";"T4 2019";"T1 2020";"T2 2020";"T3 2020";"T4 2020";"T1 2021";"T2 2021";"T3 2021";"T4 2021";"T1 2022";"T2 2022";"T3 2022";"T4 2022";"T1 2023";"T2 2023";"T3 2023";"T4 2023";"T1 2024";"T2 2024";"T3 2024";"T4 2024"
"Canada";"35 571 043";"35 606 734";"35 704 498";"35 823 591";"35 871 484";"35 970 407";"36 110 803";"36 257 421";"36 313 068";"36 397 141";"36 545 075";"36 722 075";"36 801 579";"36 903 671";"37 072 620";"37 259 485";"37 336 956";"37 437 243";"37 618 495";"37 828 162";"37 928 208";"38 006 941";"38 028 638";"38 027 406";"38 058 291";"38 140 918";"38 239 864";"38 446 871";"38 566 032";"38 682 424";"38 935 934";"39 279 501";"39 527 986";"39 748 878";"40 083 484";"40 513 781";"40 784 356";"41 038 370";"41 288 599";"41 465 298"
"Terre-Neuve-et-Labrador";"528 161";"527 859";"528 348";"528 843";"528 903";"529 083";"529 586";"530 368";"530 175";"529 700";"529 742";"530 153";"529 743";"528 924";"528 402";"528 926";"528 326";"527 993";"527 643";"528 442";"528 231";"527 733";"526 884";"526 046";"525 895";"526 195";"527 056";"528 302";"528 957";"529 042";"531 308";"533 409";"535 298";"536 686";"538 907";"541 000";"541 820";"543 141";"545 247";"545 880"
"Île-du-Prince-Édouard";"144 162";"144 046";"144 636";"144 949";"145 238";"145 792";"146 891";"147 699";"147 811";"148 354";"149 740";"150 595";"150 619";"151 008";"152 259";"153 906";"153 881";"154 409";"155 792";"157 025";"157 494";"158 401";"159 193";"159 179";"159 240";"160 334";"162 133";"163 728";"164 164";"165 574";"167 213";"169 032";"170 077";"171 856";"173 713";"175 871";"176 318";"177 318";"178 550";"179 301"
"Nouvelle-Écosse";"937 442";"935 380";"937 419";"938 914";"938 973";"940 471";"942 984";"946 623";"947 023";"948 945";"952 159";"956 074";"956 711";"957 883";"962 072";"967 578";"968 724";"970 680";"975 799";"982 592";"984 130";"986 204";"989 168";"989 154";"990 025";"993 946";"999 908";"1 006 758";"1 010 529";"1 014 733";"1 025 263";"1 035 163";"1 040 187";"1 047 129";"1 056 486";"1 064 297";"1 068 120";"1 071 498";"1 076 374";"1 079 676"
"Nouveau-Brunswick";"759 270";"758 579";"759 226";"759 971";"760 679";"762 317";"763 322";"764 820";"764 612";"764 859";"766 697";"768 029";"768 146";"768 707";"770 497";"772 793";"773 059";"774 277";"777 387";"780 907";"781 054";"782 512";"783 432";"783 814";"784 950";"787 002";"790 802";"795 732";"798 713";"801 756";"809 264";"817 173";"820 576";"825 417";"832 190";"840 578";"844 433";"849 168";"854 355";"857 381"
"Québec";"8 160 176";"8 159 968";"8 175 743";"8 190 074";"8 193 831";"8 204 229";"8 225 036";"8 246 383";"8 252 179";"8 265 839";"8 292 832";"8 326 075";"8 338 883";"8 354 460";"8 386 951";"8 418 646";"8 430 363";"8 447 632";"8 483 186";"8 521 542";"8 537 376";"8 550 900";"8 551 095";"8 551 865";"8 550 561";"8 556 015";"8 572 020";"8 603 995";"8 616 610";"8 630 541";"8 673 184";"8 727 339";"8 762 928";"8 796 788";"8 848 020";"8 918 906";"8 956 326";"9 003 338";"9 056 044";"9 100 249"
"Ontario";"13 657 423";"13 669 290";"13 709 293";"13 759 762";"13 774 364";"13 816 652";"13 876 500";"13 948 180";"13 975 516";"14 012 209";"14 078 499";"14 161 084";"14 199 811";"14 251 136";"14 326 746";"14 413 055";"14 449 986";"14 493 612";"14 573 565";"14 666 727";"14 718 155";"14 752 374";"14 761 811";"14 757 582";"14 772 726";"14 808 093";"14 842 488";"14 938 314";"14 995 433";"15 042 458";"15 141 455";"15 289 550";"15 402 095";"15 478 287";"15 623 207";"15 818 465";"15 944 379";"16 033 583";"16 124 116";"16 171 802"
"Manitoba";"1 284 693";"1 286 250";"1 293 598";"1 298 120";"1 302 938";"1 307 797";"1 314 140";"1 319 800";"1 324 044";"1 328 337";"1 334 734";"1 340 426";"1 344 198";"1 346 916";"1 352 687";"1 357 856";"1 361 737";"1 364 666";"1 370 033";"1 373 884";"1 377 283";"1 379 280";"1 380 132";"1 381 809";"1 383 854";"1 388 611";"1 391 924";"1 396 162";"1 399 970";"1 404 199";"1 412 568";"1 423 465";"1 432 984";"1 444 025";"1 454 743";"1 465 035";"1 475 046";"1 485 955";"1 494 301";"1 499 981"
"Saskatchewan";"1 117 137";"1 117 736";"1 122 210";"1 125 588";"1 128 160";"1 131 285";"1 135 496";"1 139 492";"1 141 537";"1 143 829";"1 147 315";"1 151 044";"1 152 366";"1 153 530";"1 156 210";"1 159 648";"1 161 529";"1 161 787";"1 164 223";"1 167 271";"1 169 426";"1 169 038";"1 167 386";"1 165 963";"1 166 348";"1 167 711";"1 167 711";"1 168 792";"1 171 007";"1 173 421";"1 178 455";"1 187 854";"1 195 464";"1 201 089";"1 209 307";"1 219 702";"1 226 848";"1 233 068";"1 239 865";"1 246 691"
"Alberta";"4 113 697";"4 125 943";"4 150 147";"4 163 048";"4 171 847";"4 182 353";"4 195 427";"4 207 139";"4 215 506";"4 224 933";"4 237 310";"4 253 530";"4 263 957";"4 276 444";"4 292 556";"4 311 439";"4 324 254";"4 337 569";"4 355 377";"4 376 860";"4 392 958";"4 405 455";"4 407 495";"4 412 013";"4 418 338";"4 425 617";"4 431 531";"4 449 956";"4 465 137";"4 480 389";"4 510 747";"4 558 643";"4 595 851";"4 639 399";"4 684 514";"4 744 897";"4 791 876";"4 842 523";"4 888 723";"4 931 601"
"Colombie-Britannique";"4 751 439";"4 763 917";"4 765 472";"4 795 547";"4 807 562";"4 831 042";"4 861 269";"4 886 638";"4 894 147";"4 908 971";"4 934 202";"4 962 706";"4 974 712";"4 991 716";"5 020 979";"5 052 131";"5 061 132";"5 080 515";"5 111 022";"5 148 047";"5 157 053";"5 169 535";"5 176 101";"5 173 896";"5 180 015";"5 200 393";"5 226 665";"5 267 182";"5 287 422";"5 311 608";"5 357 486";"5 408 601";"5 443 002";"5 478 258";"5 531 553";"5 593 961";"5 627 961";"5 666 888";"5 698 430";"5 719 594"
"Yukon";"37 123";"37 330";"37 669";"37 730";"37 756";"38 025";"38 549";"38 724";"38 801";"39 108";"39 533";"39 705";"39 873";"40 037";"40 403";"40 533";"40 716";"40 779";"41 187";"41 460";"41 505";"41 807";"41 958";"42 109";"42 157";"42 443";"42 961";"43 128";"43 067";"43 455";"43 900";"44 193";"44 509";"44 916";"45 463";"45 676";"45 936";"46 353";"46 704";"46 948"
"Territoires du Nord-Ouest 5";"44 106";"44 159";"44 247";"44 443";"44 515";"44 595";"44 624";"44 471";"44 471";"44 626";"44 656";"44 825";"44 730";"44 934";"44 536";"44 487";"44 675";"44 560";"44 442";"44 512";"44 533";"44 565";"44 504";"44 395";"44 432";"44 679";"44 579";"44 593";"44 752";"44 788";"44 634";"44 588";"44 446";"44 468";"44 681";"44 495";"44 499";"44 686";"44 731";"44 936"
"Nunavut 5";"36 214";"36 277";"36 490";"36 602";"36 718";"36 766";"36 979";"37 084";"37 246";"37 431";"37 656";"37 829";"37 830";"37 976";"38 322";"38 487";"38 574";"38 764";"38 839";"38 893";"39 010";"39 137";"39 479";"39 581";"39 750";"39 879";"40 086";"40 229";"40 271";"40 460";"40 457";"40 491";"40 569";"40 560";"40 700";"40 898";"40 794";"40 851";"41 159";"41 258"
